target_id,condition,repetition,selected_record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:52389,H,1,p8-t0254-arm_2-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53376,R,1,p8-t0632-arm_4-r01,environment_done,20,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,20,eat red apple,red apple,,
cookingworld:test:53216,D,1,p8-t0549-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53731,N,1,p8-t0607-arm_3-r01,environment_done,20,1,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,20,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:52195,N,1,p8-t0095-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53298,N,1,p8-t0159-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53487,R,1,p8-t0036-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53077,N,1,p8-t0431-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red onion in oven,red onion,roast,grill
cookingworld:test:52335,H,1,p8-t0446-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53187,D,1,p8-t0021-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53133,D,1,p8-t0405-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52095,N,1,p8-t0183-arm_3-r01,environment_done,12,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,12,eat orange bell pepper,orange bell pepper,,
cookingworld:test:53584,N,1,p8-t0447-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52079,N,1,p8-t0523-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52054,D,1,p8-t0201-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook block of cheese in barbeque,block of cheese,grill,fry
cookingworld:test:53501,N,1,p8-t0651-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52511,N,1,p8-t0559-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52774,H,1,p8-t0258-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53632,N,1,p8-t0407-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53734,N,1,p8-t0171-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52681,N,1,p8-t0179-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52210,N,1,p8-t0263-arm_3-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52424,R,1,p8-t0412-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52328,N,1,p8-t0103-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53931,N,1,p8-t0023-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook banana in barbeque,banana,grill,fry
cookingworld:test:52027,H,1,p8-t0142-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:53377,R,1,p8-t0396-arm_4-r01,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52603,R,1,p8-t0424-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53939,N,1,p8-t0583-arm_3-r01,environment_done,19,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,19,cook red onion in barbeque,red onion,grill,
cookingworld:test:53772,D,1,p8-t0245-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52148,N,1,p8-t0495-arm_3-r01,environment_done,2,0,operation_to_ingredient_error,wrong_operation_for_ingredient,2,cook red potato in stove,red potato,fry,grill
cookingworld:test:53191,N,1,p8-t0675-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:53132,H,1,p8-t0506-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53585,N,1,p8-t0139-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red onion in oven,red onion,roast,grill
cookingworld:test:53495,N,1,p8-t0611-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in stove,white onion,fry,grill
cookingworld:test:52214,R,1,p8-t0172-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,12,slice banana,banana,slice,
cookingworld:test:53312,H,1,p8-t0230-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53990,R,1,p8-t0580-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52859,H,1,p8-t0246-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53102,H,1,p8-t0058-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52450,D,1,p8-t0501-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52962,R,1,p8-t0184-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52474,D,1,p8-t0645-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52571,H,1,p8-t0542-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52320,N,1,p8-t0467-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook carrot in stove,carrot,fry,grill
cookingworld:test:52081,R,1,p8-t0664-arm_4-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:52052,N,1,p8-t0343-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53186,D,1,p8-t0437-arm_1-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52184,N,1,p8-t0319-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52064,H,1,p8-t0502-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52238,N,1,p8-t0503-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook carrot in stove,carrot,fry,grill
cookingworld:test:53327,D,1,p8-t0257-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53260,D,1,p8-t0545-arm_1-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52338,R,1,p8-t0504-arm_4-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53644,H,1,p8-t0010-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52331,N,1,p8-t0391-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52068,N,1,p8-t0331-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53396,D,1,p8-t0173-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:53035,N,1,p8-t0347-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:52928,N,1,p8-t0375-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52246,N,1,p8-t0579-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53240,N,1,p8-t0051-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53946,H,1,p8-t0406-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red onion in oven,red onion,roast,grill
cookingworld:test:53895,H,1,p8-t0266-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52197,H,1,p8-t0650-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52773,D,1,p8-t0377-arm_1-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52890,H,1,p8-t0350-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53123,R,1,p8-t0260-arm_4-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52645,N,1,p8-t0443-arm_3-r01,environment_done,14,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,14,eat orange bell pepper,orange bell pepper,,
cookingworld:test:52835,H,1,p8-t0410-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53856,H,1,p8-t0314-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:52759,N,1,p8-t0359-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,10,cook carrot in stove,carrot,fry,grill
cookingworld:test:53288,N,1,p8-t0663-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52937,N,1,p8-t0539-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53835,N,1,p8-t0131-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook white onion in stove,white onion,fry,grill
cookingworld:test:53617,N,1,p8-t0647-arm_3-r01,environment_done,23,0,operation_to_ingredient_error,wrong_operation_for_ingredient,23,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53027,R,1,p8-t0516-arm_4-r01,environment_done,12,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,12,eat block of cheese,block of cheese,,
cookingworld:test:52306,R,1,p8-t0096-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53210,R,1,p8-t0268-arm_4-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53602,D,1,p8-t0621-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53497,R,1,p8-t0548-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52330,D,1,p8-t0497-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53450,H,1,p8-t0546-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:53813,N,1,p8-t0543-arm_3-r01,environment_done,5,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,5,eat banana,banana,,
cookingworld:test:52258,N,1,p8-t0455-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52601,N,1,p8-t0079-arm_3-r01,environment_done,2,0,operation_to_ingredient_error,wrong_operation_for_ingredient,2,cook red potato in oven,red potato,roast,grill
cookingworld:test:53555,H,1,p8-t0026-arm_2-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53089,H,1,p8-t0354-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53001,N,1,p8-t0011-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:53163,N,1,p8-t0187-arm_3-r01,environment_done,3,0,operation_to_ingredient_error,wrong_operation_for_ingredient,3,cook red potato in stove,red potato,fry,grill
cookingworld:test:52883,N,1,p8-t0563-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,cook red hot pepper in barbeque,red hot pepper,grill,
cookingworld:test:53710,H,1,p8-t0206-arm_2-r01,environment_done,11,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,11,eat block of cheese,block of cheese,,
cookingworld:test:53539,R,1,p8-t0600-arm_4-r01,environment_done,21,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,21,eat carrot,carrot,,
cookingworld:test:52682,N,1,p8-t0191-arm_3-r01,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:53366,N,1,p8-t0575-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red potato in stove,red potato,fry,grill
cookingworld:test:52730,H,1,p8-t0034-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52724,R,1,p8-t0052-arm_4-r01,environment_done,21,0,operation_to_ingredient_error,wrong_operation_for_ingredient,21,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53440,N,1,p8-t0143-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53454,N,1,p8-t0383-arm_3-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52615,D,1,p8-t0373-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52549,H,1,p8-t0342-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in oven,red potato,roast,grill
cookingworld:test:52217,H,1,p8-t0470-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52041,D,1,p8-t0073-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53844,N,1,p8-t0491-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,15,cook red onion in barbeque,red onion,grill,
cookingworld:test:53365,N,1,p8-t0279-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53825,D,1,p8-t0457-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53484,R,1,p8-t0528-arm_4-r01,environment_done,10,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,10,eat block of cheese,block of cheese,,
cookingworld:test:53786,H,1,p8-t0006-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52844,H,1,p8-t0174-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in oven,carrot,roast,grill
cookingworld:test:52380,R,1,p8-t0360-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:53079,D,1,p8-t0489-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in oven,red onion,roast,grill
cookingworld:test:53067,N,1,p8-t0346-arm_3-r01,environment_done,2,0,operation_to_ingredient_error,wrong_operation_for_ingredient,2,cook red potato in stove,red potato,fry,grill
cookingworld:test:53856,N,1,p8-t0314-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53800,R,1,p8-t0063-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52601,R,1,p8-t0079-arm_4-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red potato in oven,red potato,roast,grill
cookingworld:test:52059,R,1,p8-t0435-arm_4-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in stove,carrot,fry,dice
cookingworld:test:52682,R,1,p8-t0191-arm_4-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:52707,R,1,p8-t0547-arm_4-r01,environment_done,21,0,operation_to_ingredient_error,wrong_operation_for_ingredient,21,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53994,N,1,p8-t0450-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53194,H,1,p8-t0381-arm_2-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red apple in oven,red apple,roast,grill
cookingworld:test:53037,H,1,p8-t0369-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52339,D,1,p8-t0324-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53322,H,1,p8-t0269-arm_2-r01,environment_done,20,0,operation_to_ingredient_error,wrong_operation_for_ingredient,20,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53790,N,1,p8-t0190-arm_3-r01,environment_done,13,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,13,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:53227,N,1,p8-t0014-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53501,R,1,p8-t0651-arm_4-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red apple in barbeque,red apple,grill,roast
