target_id,condition,repetition,record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:53102,R2,2,sup-t0058-arm_2-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52328,P,2,sup-t0103-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52880,P,2,sup-t0518-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red potato in oven,red potato,roast,grill
cookingworld:test:53077,N2,1,sup-t0431-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red onion in oven,red onion,roast,grill
cookingworld:test:52556,P,2,sup-t0037-arm_1-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52613,P,1,sup-t0004-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53895,P,1,sup-t0266-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52902,P,2,sup-t0101-arm_1-r02,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53063,N2,1,sup-t0585-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,10,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:53490,N2,2,sup-t0657-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook white onion in stove,white onion,fry,grill
cookingworld:test:52448,N2,2,sup-t0219-arm_3-r02,environment_done,16,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat orange bell pepper,orange bell pepper,,
cookingworld:test:53192,N2,2,sup-t0553-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53792,P,1,sup-t0204-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53562,N2,1,sup-t0157-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red onion in stove,red onion,fry,grill
cookingworld:test:54020,N2,1,sup-t0696-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53440,N2,2,sup-t0143-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52958,R2,1,sup-t0426-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,14,slice banana,banana,slice,
cookingworld:test:52068,R2,1,sup-t0331-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52353,N2,1,sup-t0017-arm_3-r01,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:53394,N2,2,sup-t0566-arm_3-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53035,N2,1,sup-t0347-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:52145,R2,1,sup-t0227-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53376,R2,2,sup-t0632-arm_2-r02,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat red apple,red apple,,
cookingworld:test:53804,N2,1,sup-t0247-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook carrot in stove,carrot,fry,grill
cookingworld:test:53792,R2,2,sup-t0204-arm_2-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53312,R2,2,sup-t0230-arm_2-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53804,R2,2,sup-t0247-arm_2-r02,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52839,P,1,sup-t0047-arm_1-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53406,R2,1,sup-t0066-arm_2-r01,environment_done,22,0,operation_to_ingredient_error,wrong_operation_for_ingredient,22,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52424,N2,1,sup-t0412-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53299,N2,1,sup-t0451-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52799,N2,2,sup-t0395-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red potato in oven,red potato,roast,grill
cookingworld:test:53895,N2,2,sup-t0266-arm_3-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52549,N2,2,sup-t0342-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in oven,red potato,roast,grill
cookingworld:test:52844,N2,1,sup-t0174-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook carrot in oven,carrot,roast,grill
cookingworld:test:52958,N2,1,sup-t0426-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,10,cook banana in barbeque,banana,grill,
cookingworld:test:52815,R2,1,sup-t0091-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53324,P,2,sup-t0596-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:53308,N2,2,sup-t0353-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red onion in oven,red onion,roast,grill
cookingworld:test:52385,N2,2,sup-t0372-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52184,P,1,sup-t0319-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,chop
cookingworld:test:53300,N2,2,sup-t0100-arm_3-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52030,N2,2,sup-t0468-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53631,N2,2,sup-t0065-arm_3-r02,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:52893,N2,1,sup-t0221-arm_3-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook red apple in stove,red apple,fry,grill
cookingworld:test:53522,N2,1,sup-t0340-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook white onion in oven,white onion,roast,grill
cookingworld:test:52195,R2,2,sup-t0095-arm_2-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53382,N2,2,sup-t0186-arm_3-r02,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook white onion in stove,white onion,fry,grill
cookingworld:test:53312,R2,1,sup-t0230-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53804,P,2,sup-t0247-arm_1-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52956,P,1,sup-t0028-arm_1-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat red apple,red apple,,
cookingworld:test:54023,P,2,sup-t0699-arm_1-r02,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52905,R2,2,sup-t0133-arm_2-r02,environment_done,8,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,8,cook yellow bell pepper in oven,yellow bell pepper,roast,grill
cookingworld:test:53133,R2,1,sup-t0405-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53317,R2,1,sup-t0344-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52659,N2,2,sup-t0608-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53050,N2,1,sup-t0033-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook white onion in stove,white onion,fry,grill
cookingworld:test:53614,N2,2,sup-t0148-arm_3-r02,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:53322,P,2,sup-t0269-arm_1-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:54114,P,2,sup-t0790-arm_1-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:54001,N2,1,sup-t0677-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52037,N2,1,sup-t0326-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53995,P,2,sup-t0160-arm_1-r02,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook red potato in stove,red potato,fry,grill
cookingworld:test:53895,R2,2,sup-t0266-arm_2-r02,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52745,N2,2,sup-t0368-arm_3-r02,environment_done,8,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,8,eat block of cheese,block of cheese,,
cookingworld:test:52831,R2,1,sup-t0433-arm_2-r01,environment_done,11,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,11,eat red apple,red apple,,
cookingworld:test:54103,N2,1,sup-t0779-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:53695,N2,1,sup-t0422-arm_3-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook red apple in stove,red apple,fry,grill
cookingworld:test:54053,P,2,sup-t0729-arm_1-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:54087,N2,1,sup-t0763-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:54124,P,1,sup-t0800-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52389,R2,2,sup-t0254-arm_2-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52960,N2,1,sup-t0064-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:54107,P,2,sup-t0783-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in stove,red potato,fry,grill
cookingworld:test:53078,P,1,sup-t0336-arm_1-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53728,N2,1,sup-t0128-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook banana in barbeque,banana,grill,fry
cookingworld:test:53490,P,1,sup-t0657-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook white onion in oven,white onion,roast,grill
cookingworld:test:54041,N2,1,sup-t0717-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52181,P,1,sup-t0361-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow bell pepper in oven,yellow bell pepper,roast,grill
cookingworld:test:52306,R2,1,sup-t0096-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52563,N2,1,sup-t0222-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53778,N2,1,sup-t0236-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red hot pepper in oven,red hot pepper,roast,grill
cookingworld:test:53427,R2,2,sup-t0209-arm_2-r02,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:54023,P,1,sup-t0699-arm_1-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52803,P,2,sup-t0414-arm_1-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53487,N2,2,sup-t0036-arm_3-r02,environment_done,11,1,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53771,N2,1,sup-t0480-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in stove,red onion,fry,grill
cookingworld:test:53865,N2,2,sup-t0626-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53683,N2,2,sup-t0029-arm_3-r02,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red potato in stove,red potato,fry,grill
cookingworld:test:52902,N2,2,sup-t0101-arm_3-r02,environment_done,11,1,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53675,N2,2,sup-t0417-arm_3-r02,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53312,N2,2,sup-t0230-arm_3-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53614,N2,1,sup-t0148-arm_3-r01,environment_done,16,1,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:53011,R2,2,sup-t0107-arm_2-r02,environment_done,10,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,10,eat white onion,white onion,,
cookingworld:test:54020,P,1,sup-t0696-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53695,R2,1,sup-t0422-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in oven,red apple,roast,grill
cookingworld:test:53324,P,1,sup-t0596-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:53377,R2,2,sup-t0396-arm_2-r02,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52593,N2,2,sup-t0176-arm_3-r02,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:53499,N2,1,sup-t0534-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red potato in stove,red potato,fry,grill
cookingworld:test:52571,N2,1,sup-t0542-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52806,P,2,sup-t0030-arm_1-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53209,N2,2,sup-t0114-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:53132,R2,2,sup-t0506-arm_2-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53018,R2,1,sup-t0308-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53383,P,2,sup-t0138-arm_1-r02,environment_done,19,0,operation_to_ingredient_error,wrong_operation_for_ingredient,19,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:52093,N2,1,sup-t0411-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53813,N2,1,sup-t0543-arm_3-r01,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat banana,banana,,
cookingworld:test:53676,N2,2,sup-t0474-arm_3-r02,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat white onion,white onion,,
cookingworld:test:54112,R2,1,sup-t0788-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52889,R2,1,sup-t0167-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:53790,N2,2,sup-t0190-arm_3-r02,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:53499,N2,2,sup-t0534-arm_3-r02,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red potato in stove,red potato,fry,grill
cookingworld:test:52117,N2,2,sup-t0180-arm_3-r02,environment_done,16,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,16,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52708,N2,2,sup-t0598-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:52226,N2,2,sup-t0508-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52840,N2,2,sup-t0665-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,cook banana in barbeque,banana,grill,
cookingworld:test:54107,P,1,sup-t0783-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in stove,red potato,fry,grill
cookingworld:test:54100,R2,2,sup-t0776-arm_2-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:54093,R2,1,sup-t0769-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53501,R2,1,sup-t0651-arm_2-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53585,N2,1,sup-t0139-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red onion in stove,red onion,fry,grill
cookingworld:test:54012,P,1,sup-t0688-arm_1-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53497,N2,1,sup-t0548-arm_3-r01,environment_done,41,1,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,41,eat red hot pepper,red hot pepper,,
cookingworld:test:54112,N2,1,sup-t0788-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52902,R2,1,sup-t0101-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53939,N2,2,sup-t0583-arm_3-r02,environment_done,16,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,16,cook red onion in barbeque,red onion,grill,
cookingworld:test:53376,R2,1,sup-t0632-arm_2-r01,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat red apple,red apple,,
cookingworld:test:54111,P,1,sup-t0787-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in stove,red apple,fry,grill
cookingworld:test:53317,P,2,sup-t0344-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:54083,R2,2,sup-t0759-arm_2-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in oven,orange bell pepper,roast,dice
cookingworld:test:52306,R2,2,sup-t0096-arm_2-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:54076,P,1,sup-t0752-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,10,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52063,N2,1,sup-t0042-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:53595,R2,2,sup-t0669-arm_2-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red onion in stove,red onion,fry,grill
cookingworld:test:54041,N2,2,sup-t0717-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53183,N2,2,sup-t0662-arm_3-r02,environment_done,14,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,14,chop white onion,white onion,chop,
cookingworld:test:52107,N2,1,sup-t0149-arm_3-r01,environment_done,16,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat carrot,carrot,,
cookingworld:test:54076,N2,1,sup-t0752-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52534,N2,2,sup-t0510-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:52457,N2,1,sup-t0076-arm_3-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:54002,N2,1,sup-t0678-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in stove,red potato,fry,grill
